老矫,夸老 备盒,乞闭扁柯,弥历扁柯,弥绊扁柯,老碍荐樊,弥措 浅加,乞闭 浅加,弥家 惑措嚼档,乞闭 惑措嚼档,乞闭 泅瘤扁拘,钦拌 老炼矫埃,钦拌 老荤樊
2020-07-01,乞老,21.1,18.1,24.3,0,3.7,1.9,67,79.3,995,0.2,9.47
2020-07-02,乞老,24.2,20.4,29.8,,3.4,1.9,51,74.5,1000.9,5.4,19.15
2020-07-03,乞老,25.5,21.6,30.6,0.1,6.1,2.6,34,63.5,1000.5,9.6,27.47
2020-07-04,绒老,24.2,20.4,29.5,1.6,4.4,2.1,39,63.9,997,9.5,26.88
2020-07-05,绒老,23.8,19.9,27.6,,3.5,1.9,52,68.6,994.5,6.4,20.85
2020-07-06,乞老,25.6,21.8,30.9,,4.7,2.1,46,66.6,991.2,5,19.28
2020-07-07,乞老,24.1,22.1,28.1,0,4,2.5,59,75.5,994.3,4,15.15
2020-07-08,乞老,25.5,21.3,30.4,,3.7,2,52,71.9,994.8,10,25.81
2020-07-09,乞老,27.5,21.8,32.9,,3.6,1.7,38,64.6,994,7.7,23.1
2020-07-10,乞老,24.5,22.7,27.7,2.2,6.6,2.8,60,75,992.6,3.1,12.3
2020-07-11,绒老,25.8,22.2,30.2,,5,2.6,49,62.6,997.5,6.6,21.82
2020-07-12,绒老,23.5,21.7,26,2.9,3.6,2.4,58,71.9,999.3,0,7.67
2020-07-13,乞老,18.7,17.7,21.7,47.6,5.9,4,86,94.8,993,0,4.58
2020-07-14,乞老,20.3,17.2,24.3,11.5,4.4,2.8,62,79.4,993.9,0.1,12.46
2020-07-15,乞老,23.4,18.9,28.7,,3.4,2,40,63.1,995.5,9.3,26.6
2020-07-16,乞老,25,20.4,29.7,,3.5,1.8,55,70.9,997,10.2,25.76
2020-07-17,乞老,26,21.5,31.6,0,5.6,1.9,52,72,998.3,7.5,22.28
2020-07-18,绒老,26.1,22.8,31,,4,1.6,54,71.6,998.4,4.3,15.49
2020-07-19,绒老,24,20.6,26.6,29.1,4.3,2.7,62,81.6,994.9,0,4.92
2020-07-20,乞老,23.8,22.4,26.6,3.6,7,3.7,77,86.3,995.9,0,5.15
2020-07-21,乞老,25,21.4,30.5,0,4.2,1.6,51,77,1001.8,4,17.83
2020-07-22,乞老,23.7,22.6,25.7,11.5,3.4,1.6,81,89.3,999.9,0,4.5
2020-07-23,乞老,21.1,18.5,22.6,103.1,8.3,3.6,89,95.5,995.7,0,2.72
2020-07-24,乞老,22.5,18.7,26.8,2.9,8.7,4.6,61,74.3,989.3,1,10.46
2020-07-25,绒老,24.3,22.3,29,0,6.1,3.1,56,69.3,993.6,1.9,15.59
2020-07-26,绒老,25.4,21.6,29.6,0,3.3,2,56,69.3,997.4,5.6,18.14
2020-07-27,乞老,24.3,22.9,25.5,2.2,3.2,2.2,80,86.4,998.6,0,7.72
2020-07-28,乞老,24.4,22.7,26.4,0.4,3.1,2,71,84.8,1000.5,0,8.38
2020-07-29,乞老,23.7,22.6,24.9,50.1,3.4,2,89,95.8,1002,0,3.18
2020-07-30,乞老,25.3,23.4,28.4,0.1,3.8,2.1,68,85.5,1003.4,3,15.34
2020-07-31,乞老,26.2,22.8,29.6,1.5,4.6,2,69,81.9,1003.9,5,14.5
2020-08-01,绒老,25.3,24.3,26.9,39.1,4.9,1.7,82,90.9,1000.5,0,5.31
2020-08-02,绒老,24.9,23.5,26.4,31.4,7.5,2.3,90,96.3,997.8,0,2.55
2020-08-03,乞老,25,23.9,26.3,102.6,8.3,3,89,96.3,998.4,0,3.09
2020-08-04,乞老,27,25,29.4,3.9,5.7,3.5,77,89.3,1000.9,0.4,8.06
2020-08-05,乞老,26.5,25.5,29.1,18.5,4.6,1.9,81,92.1,1000.8,0.1,5.02
2020-08-06,乞老,24.1,22.9,26,75.7,6.5,3.3,83,92.8,995.4,0.2,6.74
2020-08-07,乞老,24.3,22.6,26.1,0,3.3,1.8,71,85.3,996.9,0,6.7
2020-08-08,绒老,24.2,22.7,26.1,19.1,3.7,2.3,77,89.5,993.2,1.8,6.96
2020-08-09,绒老,24.9,23.7,25.8,50.3,6.8,2.6,89,95.4,992.5,0,1.43
2020-08-10,乞老,26.5,24.7,29.5,44.6,4.3,2,78,91.6,993.8,0.2,7.77
2020-08-11,乞老,24.6,22.4,27.3,97,4.7,2.2,79,92.5,999.6,0.5,7.44
2020-08-12,乞老,27.2,23.5,31.3,,4.3,1.9,68,83.9,1002.7,2.1,13.62
2020-08-13,乞老,28,26.3,30.3,,4.9,2.5,74,82.4,999.3,0.2,7.96
2020-08-14,乞老,27.1,26.5,28,0.4,5.7,3.5,81,86.1,995.8,0,4.14
2020-08-15,绒老,26.1,25,27,69,5.6,1.9,92,96,998.7,0,3.25
2020-08-16,绒老,27.4,25.3,30.8,,5.2,3,66,82.6,1001,2.4,14.3
2020-08-17,绒老,28.2,26.1,32.2,,4.1,2.3,61,77.9,1003.7,5.8,18.44
2020-08-18,乞老,27.5,24,31.9,,3.6,1.6,56,76.3,1003.2,7.9,19.81
2020-08-19,乞老,27.1,23.6,31.4,,4.4,2,61,76.8,1001.7,9.4,22.54
2020-08-20,乞老,27.7,25,31.7,,4.2,1.7,58,76,1002.4,3.1,15.16
2020-08-21,乞老,26.6,25.2,29.2,2.5,3.5,1.6,75,83.1,1003.9,0.8,8.74
2020-08-22,绒老,24.3,21.7,27.6,42.6,5.5,2.1,78,87.4,1002.5,0.6,7.56
2020-08-23,绒老,25.3,21.5,29.9,,3.9,1.9,59,78.4,998.7,6.8,18.72
2020-08-24,乞老,27.8,23.7,32,,4.9,2.2,54,71.6,995.2,8.8,20.25
2020-08-25,乞老,29.9,26,34.5,,4.6,2.1,49,69.5,995,7.6,21.21
2020-08-26,乞老,30.2,27,34.5,0.6,6.5,3.4,53,68.3,992.2,7.5,19.68
2020-08-27,乞老,27.1,25.6,28.6,8.7,7,3.6,70,84.6,991.3,0.5,5.5
2020-08-28,乞老,27.3,26,29.7,13.6,4.4,1.6,77,89.1,997.3,2,10.18
2020-08-29,绒老,26.8,25.5,29,13.6,4,1.3,77,90.1,999.2,1.7,8.7
2020-08-30,绒老,26.8,24.4,30.6,42.5,4.8,2.1,74,88.8,1001.6,2.4,12.89
2020-08-31,乞老,26.4,23.8,30,0,4.3,2.8,67,77.9,1002.4,1.9,12.25
2020-09-01,乞老,26.6,23.8,29.5,0,3.6,1.9,62,72.4,999.4,1,11.35
2020-09-02,乞老,24.3,22.6,26.4,33.3,4,2.3,79,91.3,993.7,0,3.34
2020-09-03,乞老,22.7,20,25.6,29.8,9.8,4.8,63,82,987.3,2.8,13.51
2020-09-04,乞老,23.3,19.9,27.5,,5.6,2.7,39,63.9,1002.2,10.1,21.21
2020-09-05,绒老,23.3,19.2,27.3,,3.5,2,53,66.6,1003.5,3.3,14.49
2020-09-06,绒老,21.7,19.5,24.4,6.4,4.8,2.7,62,80,999.3,0,7.13
2020-09-07,乞老,19.2,17.5,20.6,61,7.9,4.2,84,93.5,983.1,0,3.37
2020-09-08,乞老,23.4,20.6,26.5,0,7,4.2,50,71.5,998.7,9.5,21.87
2020-09-09,乞老,21.1,19,25.3,1.3,7.6,2.1,65,83.4,999.9,3.1,12.29
2020-09-10,乞老,22.8,18.8,27,3.9,4.2,2,49,75.8,999.1,9,19.17
2020-09-11,乞老,22.4,19.2,27.1,1.2,4.9,2.8,47,72.6,1004.5,4.5,12.87
2020-09-12,绒老,20.2,18.1,23.2,5.7,3.9,2,74,83.8,,0,7.34
2020-09-13,绒老,21.5,16.7,26.6,,3.5,1.9,52,70.4,1005.7,9.8,20.53
2020-09-14,乞老,21.3,17.6,24.9,0,4.3,1.8,62,79.3,1004.4,5.7,13.86
2020-09-15,乞老,23,18.9,27.7,,3.3,1.6,50,76.4,1002.6,5.1,16.56
2020-09-16,乞老,22.5,21.3,24.9,0.3,3.4,1.9,70,79.9,999.6,0.3,6.21
2020-09-17,乞老,21.3,20.1,23.6,,3.7,2.1,47,70.3,1000.2,0.7,9.35
2020-09-18,乞老,21.5,18.1,25.8,,6,2.8,35,62,1002.7,9.8,21.24
2020-09-19,绒老,21.2,17.6,26.2,0.3,5.3,2.2,27,59.3,1004.9,9.7,21.25
2020-09-20,绒老,19.7,15.6,24.9,,4.9,2,33,57.6,1007,11.4,22.19
2020-09-21,乞老,19.1,13.6,25.3,,2.9,1.7,33,56.1,1008.1,9.6,19.54
2020-09-22,乞老,20.2,15.5,25.6,,4.6,2.8,35,55.3,1008.7,10.7,21.71
2020-09-23,乞老,19.2,15.2,23.8,,5.3,3.3,50,59.9,1008.2,7.2,16.99
2020-09-24,乞老,20.6,16.8,25.4,,5.7,3.7,49,59.6,1005.3,8,18.54
2020-09-25,乞老,20.1,16.6,25.4,,4.9,2.5,49,64.1,1003.7,3.5,13.39
2020-09-26,绒老,19.3,14.8,24.8,,6.2,2.4,45,62.5,1006.7,8,15.92
2020-09-27,绒老,20.4,14.9,25.8,,3.9,2,43,63.3,1008.5,9.8,18.7
2020-09-28,乞老,20.7,15.7,26.5,,3.6,2,40,66,1006.5,10.5,19.29
2020-09-29,乞老,19.6,15.3,23.9,,4.3,1.9,43,67.6,1001.6,6.3,14.84
2020-09-30,绒老,19.6,16.2,25.7,38.3,4.1,1.7,48,78,1000.6,4.9,14
2020-10-01,绒老,18.8,15.6,23.6,,4.7,2.1,58,74.9,1003.4,2.5,10.89
2020-10-02,绒老,19.2,16.3,21.9,0,5.2,2.3,63,79.6,1004.6,1.9,6.34
2020-10-03,绒老,19.9,18.3,23.2,0,3.6,1.6,46,72.5,1004.9,1.8,9.79
2020-10-04,绒老,16.6,10.6,21.8,0,7.2,2.8,42,65.1,1002.7,4.3,12.36
2020-10-05,乞老,13.3,8.5,18.4,,5.1,2.5,40,57.3,1007.9,10.5,19.44
2020-10-06,乞老,14.2,9.3,19.7,,4.1,2,34,55.9,1012.2,10.8,19.81
2020-10-07,乞老,16,9.9,22,,3.4,1.9,24,48.9,1015.8,8.9,16.99
2020-10-08,乞老,17.2,12.1,23.1,,5.4,3.1,35,53,1016.7,10.8,19.27
2020-10-09,绒老,17.2,12.4,23.3,,5.2,3,42,53.4,1013.2,10.6,18.55
2020-10-10,绒老,16.9,12.3,21.5,,3.8,2,41,60.1,1009.7,7.6,15.28
2020-10-11,绒老,16.9,12.7,20.8,,4.1,1.8,52,68.5,1006.1,4.9,11.45
2020-10-12,乞老,16.2,12.1,21.3,,4.6,2.2,48,68.6,1005.2,7.5,13.59
2020-10-13,乞老,13.6,8.6,18.4,,4.7,2.2,30,52.3,1010.7,7.1,14.16
2020-10-14,乞老,12.8,8.5,18,,5.8,2.4,20,47,1014.6,5.8,12.19
2020-10-15,乞老,11.7,6.5,18.5,,3.7,1.5,27,41.8,1015.8,7.2,14.48
2020-10-16,乞老,11.8,8.6,15.4,,2.5,1.5,48,64.3,1013.7,0,5.28
2020-10-17,绒老,13.1,8.7,18.6,,4.3,1.8,26,64.3,1013,10.1,17.65
2020-10-18,绒老,13.6,7.2,20.2,,3.9,2,40,65.5,1013.6,9.7,15.96
2020-10-19,乞老,15.1,9.8,21.3,,3.4,1.7,38,74.4,1014.7,9.8,15.27
2020-10-20,乞老,15.2,9.9,21.7,,3.1,1.6,38,67.1,1015.4,10,15.67
2020-10-21,乞老,14.1,11.8,17.3,,3.8,1.9,58,69.4,1008.6,0.1,4.72
2020-10-22,乞老,13.5,8.4,18.2,0,5.7,2.8,40,66,1003.5,5.4,11.01
2020-10-23,乞老,8.6,5.4,13.3,,5.5,3,34,51.5,1004.9,9.9,17.01
2020-10-24,绒老,8.7,3.2,14,,5.9,2.5,27,47.6,1008.7,9.9,16.65
2020-10-25,绒老,11.8,5.4,18.2,,3.8,1.7,29,62.5,1009.9,8.8,13.83
2020-10-26,乞老,12.9,8,19,,4.4,1.6,42,71.6,1009.8,9.2,13.69
2020-10-27,乞老,14,9,19.4,,3.4,1.8,39,74.1,1010.9,8.3,12.23
2020-10-28,乞老,13.8,8.6,18.2,,4.8,2.5,23,52.1,1012.6,9.2,15.27
2020-10-29,乞老,10.8,5.5,16.1,,4.5,2,24,40.3,1013.7,9,13.77
2020-10-30,乞老,11.9,5.8,19.6,,3.2,1.5,22,42.9,1015.2,9.7,14.62
2020-10-31,绒老,13.6,8.5,18.2,,5,2.6,51,60.3,1013.9,5.8,11.03
2020-11-01,绒老,13.7,11.6,15,13.6,4.5,2.3,56,84.3,1009.2,0,1.61
2020-11-02,乞老,10.8,7.9,15.6,1.7,4.9,2.3,24,58.3,1010.1,9.6,14.6
2020-11-03,乞老,5.1,2.7,8.6,0.5,8.4,3.5,33,47.5,1011.9,9.2,15.22
2020-11-04,乞老,4.9,0.2,10.8,,4.2,2.3,20,43.9,1015.2,9.6,15.36
2020-11-05,乞老,9.6,3.4,15.9,,3,1.8,41,61.5,1016.7,8.4,12.77
2020-11-06,乞老,13.5,9.9,17.2,,3.3,1.7,49,63.3,1010.9,0.3,5.65
2020-11-07,绒老,14.6,12.2,18.1,0.1,4.9,2.7,38,68.8,1007.6,7,11.01
2020-11-08,绒老,8.5,3.1,12.4,,6.2,3.1,18,43.8,1012.3,9.5,14.66
2020-11-09,乞老,5.5,0.7,8.9,,4,1.8,23,40.9,1015.2,6,10.48
2020-11-10,乞老,7.7,3.5,12.9,,5,2.2,34,56.1,1017.9,9.6,13.61
2020-11-11,乞老,9.3,3.5,16.5,,2.6,1.6,31,53.5,1021.3,9.6,12.96
2020-11-12,乞老,10.4,4.6,17.7,,3.4,1.7,30,56.9,1019.9,9.4,12.27
2020-11-13,乞老,12.2,8.5,17.6,,3,1.6,44,71.5,1018.2,5.5,8.92
2020-11-14,绒老,12.5,6.8,19.3,,4,1.7,38,66.9,1018.9,8,11.58
2020-11-15,绒老,11.1,8.2,14.9,,3.7,1.7,61,75,1017.1,6.8,9.52
2020-11-16,乞老,12.4,7.5,18.3,,4.1,1.6,45,70.1,1015.9,8.4,10.76
2020-11-17,乞老,15.9,11.7,20,0.1,4.5,2.3,52,67.5,1013.2,1.3,5.7
2020-11-18,乞老,16.6,14.8,18.7,12.2,3.6,2.6,77,91.4,1005.5,0,2.63
2020-11-19,乞老,13.6,6.9,19.1,86.9,7.3,4.2,78,90.5,998,0,0.96
2020-11-20,乞老,2.8,0.3,7,0,5.6,3.2,68,74.3,1009.3,0,2.74
2020-11-21,绒老,6.5,-0.3,12.8,0.2,4.8,2.1,48,67.9,1013.1,6.6,10.52
2020-11-22,绒老,5.6,1.5,9.1,4.8,5.7,2.5,66,80.5,1012.4,0.4,3.61
2020-11-23,乞老,1.7,-1.5,5.9,,4.9,2.3,36,61.4,1017.8,9.2,12.35
2020-11-24,乞老,2.9,0.2,6.4,,3.8,1.8,39,54.5,1018,1.3,6.33
2020-11-25,乞老,4.6,0,9.5,,3,1.5,45,64.1,1017,4.6,8.32
2020-11-26,乞老,5.6,1.9,10.9,,3.6,1.7,42,66.5,1016.5,6.6,9.8
2020-11-27,乞老,4.1,0.6,7.7,0,5.3,2.7,44,61.6,1015.4,5,8.52
2020-11-28,绒老,-0.1,-2.3,2.8,,5.3,2.8,30,50,1018.3,9,11.89
2020-11-29,绒老,-0.6,-3.6,2.6,,4.5,2.2,52,59.6,1019.3,1.5,5.61
2020-11-30,乞老,-0.2,-3.6,4.3,,4.6,1.9,38,57.8,1024.1,9.1,11.55
2020-12-01,乞老,1.1,-3.6,6.7,,4,1.9,24,44.5,1024.7,7.3,10.69
2020-12-02,乞老,2.4,0.5,6.1,,3.9,1.8,25,41.4,1020.2,3.4,6.38
2020-12-03,乞老,0.7,-2.3,4.2,,4.9,2.7,36,47.1,1019.1,9.1,11.52
2020-12-04,乞老,-0.6,-4.6,4.4,,4.3,1.8,30,53.8,1019.6,9,11.62
2020-12-05,绒老,2.1,-2.2,6.6,,3.9,1.7,51,63.1,1019.1,5.1,8.18
2020-12-06,绒老,4.5,1.2,9.1,,4.3,1.8,46,66.9,1017.4,6,8.37
2020-12-07,乞老,3.4,-0.7,6.3,,5.6,2.6,37,57.5,1017.6,7.4,8.93
2020-12-08,乞老,-0.5,-3.5,4.1,,3.9,2,28,50,1018.2,8.7,11.4
2020-12-09,乞老,1.5,-4.1,6.2,,3,1.5,35,55.1,1015.9,5.9,8.48
2020-12-10,乞老,5.8,3.2,9.3,0,3.5,1.7,57,69.9,1011.8,1.1,4.74
2020-12-11,乞老,5.3,2.6,9.4,,4.5,1.8,57,77.1,1009.1,2.4,5.85
2020-12-12,绒老,2.3,-0.3,6.1,,4.8,2.1,32,51.3,1009,8.6,10.22
2020-12-13,绒老,-1.1,-6,2,2.9,6.1,2.9,52,74.9,1008.4,1.1,1.9
2020-12-14,乞老,-7.7,-9.7,-5,,5.3,3.4,31,49.1,1018.3,8.9,11.44
2020-12-15,乞老,-8.3,-11.1,-4.6,,5.2,2.8,28,43,1020.5,9,11.61
2020-12-16,乞老,-8.3,-11.2,-3.9,,4.6,2.6,29,43.9,1020.6,9,11.44
2020-12-17,乞老,-4.9,-11.1,0.8,0,3.7,1.7,24,47,1019.6,9,11.15
2020-12-18,乞老,-2.1,-6.4,1.8,0.2,5.4,3,34,57,1017.7,5.5,8.45
2020-12-19,绒老,-5.1,-9.6,-1.2,,5.1,2.4,26,45.1,1022.4,9,11.27
2020-12-20,绒老,-3.7,-8.2,1.1,,4.4,2,29,50.4,1021.6,9.1,11
2020-12-21,乞老,-1,-6,4.7,,3.7,1.6,40,64.1,1018.4,8.8,9.99
2020-12-22,乞老,2,-2.5,7.2,,4.7,2,42,67.6,1015.3,5.2,7.83
2020-12-23,乞老,4.5,-0.4,8.5,0,5.1,2.3,62,76.6,1011.3,1.7,4.6
2020-12-24,乞老,2.6,-2,6.1,,6.5,2.9,35,61.5,1007.8,7.9,9.82
2020-12-25,绒老,-0.8,-4.7,3.5,,4.7,2.1,34,51.9,1012.8,9,10.88
2020-12-26,绒老,2.2,-2.1,8,,3.9,1.8,49,65.8,1013.5,8.2,8.99
2020-12-27,绒老,5.8,1.4,10,0,2.8,1.8,48,62.9,1011,5.9,8.12
2020-12-28,乞老,6.7,4.2,11.4,1.3,3.1,1.4,45,72.1,1012.6,8,9.12
2020-12-29,乞老,0.1,-6.2,4.3,0.2,6.1,2.9,40,70.8,1011,0,1.98
2020-12-30,乞老,-10.9,-12.9,-6.2,,6.2,4.1,41,55.5,1012.5,8.3,11.36
2020-12-31,乞老,-8.9,-12.9,-5,0,4.2,2.4,42,53.9,1015.4,6,9.06
